kreatinin,hemoglobin,hematokrit yuzdesi,eritrosit sayisi,lokosit sayisi,trombosit sayisi,alanin - alt,aspartat - ast,ure,albumin,glikoz,sodyum,potasyum,klorur,oksijen doygunlugu - spo₂,Saglik_Durumu
1.14,14.76,44.98,7.54,10.85,0,65.6,0,7.72,0.79,92.57,152.07,3.57,113.06,95.84,9
2.62,15.47,39.62,7.62,15.97,269.7,151.94,114.2,22.11,3.03,111.62,148.63,3.56,108.07,96.87,2
0,22.8,41.68,6.75,7.57,328.65,37.62,53.41,21.4,3.56,91.87,142.61,5.73,105.65,96.73,4
0.62,16.57,46.45,0,15.01,376.93,0,47.34,7.44,2.94,86.32,152.53,6.33,114.76,95.97,11
1.21,0,41.65,0,10.49,302.04,200.9,113.31,0,2.62,82.99,0,5.77,0,99.41,7
1.09,9.23,53.51,8.45,12.47,320.46,61.5,63.01,25.63,3.94,0,139.16,4.99,112.26,95.45,3
3.68,14.81,44.07,6.7,13.34,350.43,148.17,91.65,19.76,3.3,86.58,145.26,5.28,102.36,95.38,2
1.32,0,54.64,6.39,21.6,202.68,67.71,64.21,11.13,2.94,115.85,152.56,5.21,103.01,98.15,5
0.49,12.76,41.61,7.44,31.81,0,13.8,32.26,7.74,3.03,82.85,149.6,5.13,0,0,6
1.6,12.2,37.57,6.0,15.62,299.07,46.46,56.51,9.3,3.71,113.27,118.33,4.45,106.46,96.31,10
1.55,12.76,50.89,6.6,7.75,202.98,56.71,0,23.41,3.41,114.15,142.31,7.18,105.27,0,11
0,13.25,51.75,0,10.03,204.92,197.43,161.26,10.9,3.61,110.2,144.39,4.54,112.01,0,7
1.73,13.11,49.26,6.99,18.58,327.5,0,48.16,13.5,3.25,110.21,141.5,4.11,112.07,98.42,5
0.78,10.01,0,6.41,0,220.44,97.06,42.44,9.92,2.84,89.97,147.28,0,104.27,96.74,3
2.91,16.71,42.84,8.37,12.89,287.79,0,103.9,21.54,3.61,99.66,138.95,4.63,111.91,99.21,2
0.78,10.24,40.03,5.83,6.04,212.71,103.42,55.1,10.03,3.1,101.8,151.57,5.71,114.07,98.76,3
1.53,15.49,43.9,8.26,13.21,303.73,43.21,39.65,0,3.8,90.15,138.43,4.9,103.43,99.68,1
0.57,0,42.58,7.56,9.47,376.24,36.51,65.46,8.04,1.22,107.69,139.74,0,0,97.65,9
1.43,15.62,46.8,6.73,64.27,331.44,91.5,30.2,20.98,3.84,119.92,153.74,5.69,114.71,96.53,6
0,12.63,49.1,7.55,11.5,304.38,96.28,15.25,0,3.58,104.23,147.76,6.74,108.01,98.66,11
1.44,14.26,48.83,0,0,220.74,88.81,31.52,13.39,3.58,0,126.88,3.75,114.85,98.8,10
1.13,0,48.23,7.95,6.91,311.56,44.28,30.66,17.6,2.86,0,146.5,0,116.96,96.42,3
3.45,13.79,46.73,6.9,14.98,168.39,153.34,108.95,19.6,3.56,96.06,144.08,4.47,105.13,95.88,2
2.47,17.57,38.89,7.23,12.08,160.98,142.2,111.2,15.28,3.6,92.45,153.4,3.57,108.04,97.09,2
1.16,13.51,38.34,7.6,10.75,187.89,66.34,65.09,8.61,0,75.59,152.76,7.19,108.19,95.93,11
1.72,17.06,45.2,6.03,31.24,216.85,35.18,44.74,0,0,112.89,148.29,4.29,0,96.36,6
1.22,13.48,49.85,7.45,20.56,286.35,17.36,36.49,26.51,3.11,81.7,149.84,4.23,100.93,96.78,5
0.71,14.81,40.93,8.06,11.64,212.54,45.0,16.43,0,3.67,0,0,5.48,106.87,95.79,1
1.6,15.21,51.14,6.51,14.34,185.4,0,29.37,11.27,0,107.81,152.12,5.69,108.31,99.42,1
0.82,14.69,51.12,6.6,11.14,348.47,76.83,0,7.78,2.78,160.65,143.84,5.28,103.19,97.43,8
0.56,12.68,49.98,5.98,45.58,393.58,37.26,33.53,12.07,2.94,96.3,147.79,3.88,111.36,96.95,6
1.23,17.27,53.05,6.44,20.69,369.19,0,47.18,13.87,3.29,75.4,148.22,5.66,103.35,97.06,5
1.25,15.72,44.34,8.35,0,375.1,0,0,22.51,3.62,85.28,152.86,6.39,106.5,95.6,11
0.75,15.91,49.56,6.79,11.98,369.16,17.16,0,23.49,0,117.62,122.05,3.76,111.54,0,10
0,15.77,42.19,8.13,16.79,285.32,108.9,43.0,18.24,2.94,88.86,146.12,7.5,111.06,99.72,11
0.64,0,39.06,5.74,14.65,176.2,169.32,114.02,23.46,2.71,78.34,143.34,4.43,101.41,95.04,7
1.42,0,40.87,5.95,12.15,299.95,106.79,26.87,0,3.78,0,149.92,4.98,115.55,0,4
0.92,0,37.32,7.07,12.0,177.27,59.88,18.28,25.12,3.58,155.56,153.32,4.62,116.68,97.12,8
0.62,15.46,0,6.35,7.06,379.2,58.57,54.33,8.25,2.75,163.64,149.08,3.99,112.99,97.61,8
0.57,13.33,46.7,6.7,14.74,278.52,81.38,35.99,11.72,3.0,146.76,151.0,4.58,113.66,96.98,8
1.13,12.49,54.52,6.88,9.66,346.99,46.38,55.53,11.02,3.19,86.6,143.17,6.73,111.37,95.08,11
0.43,13.4,45.26,8.03,9.37,0,0,50.47,13.83,3.85,76.69,119.29,4.25,101.56,98.26,10
1.3,17.53,37.77,6.8,6.89,426.27,205.69,113.23,19.78,3.16,107.5,151.59,4.63,113.18,97.43,7
1.56,19.09,49.8,6.13,12.85,184.72,65.37,39.71,0,2.71,100.5,148.58,3.84,0,96.66,4
0.79,10.09,46.13,6.78,0,255.98,73.81,52.18,23.5,3.32,0,139.22,5.12,103.34,96.81,3
0,16.77,52.33,6.02,6.9,289.22,94.01,59.49,25.87,1.56,80.25,148.14,5.45,109.68,99.91,9
0.56,13.81,51.51,5.55,16.87,372.59,180.3,161.59,0,3.5,113.54,149.51,3.73,106.8,97.71,7
1.17,14.48,41.12,7.5,18.62,414.26,0,37.33,26.05,3.72,114.99,150.83,3.7,100.48,96.28,5
0.67,15.24,0,7.77,0,283.28,74.45,55.99,18.17,2.66,110.94,153.68,7.02,109.88,95.85,11
0,0,50.85,6.44,20.14,228.43,74.25,0,21.2,2.64,75.52,140.06,3.66,105.42,99.63,5
0,16.22,44.8,6.33,11.49,313.46,44.71,53.48,15.25,2.86,77.58,145.53,4.72,0,98.67,1
2.94,12.27,46.14,8.41,0,320.92,137.63,0,18.29,2.62,94.93,151.07,4.16,0,96.72,2
0.58,13.85,47.57,7.18,41.04,0,73.47,64.78,10.39,3.33,85.57,139.3,4.13,110.23,97.9,6
1.32,17.95,49.29,6.04,21.96,255.83,102.24,0,23.56,3.99,91.53,144.92,5.36,108.34,97.05,5
1.43,12.9,0,7.56,16.71,250.11,16.54,42.12,26.67,0,76.29,0,0,100.94,97.74,10
1.69,9.23,45.85,0,14.02,170.97,0,24.87,22.99,3.2,116.46,147.2,3.57,111.8,99.2,3
1.7,14.77,40.64,5.82,30.09,180.18,0,64.66,0,2.63,84.25,150.12,4.74,117.85,0,6
1.62,14.96,42.81,5.7,15.32,0,0,39.19,26.84,2.62,0,142.62,6.52,108.5,97.28,11
0.63,15.08,47.14,7.44,12.68,283.32,0,64.57,11.82,1.28,92.86,139.08,4.23,104.16,95.31,9
0.71,0,44.24,7.96,10.5,213.61,99.81,23.12,16.66,2.96,81.83,152.32,4.55,102.79,98.39,3
0.73,16.56,38.83,6.89,10.25,362.97,95.94,21.55,8.74,2.95,140.22,151.19,4.45,108.76,0,8
1.47,17.88,0,6.68,15.35,415.99,0,40.62,16.79,1.21,114.0,152.61,5.55,113.37,0,9
0.51,19.4,53.12,7.3,0,237.15,19.09,32.5,12.93,3.59,88.81,141.13,4.44,109.23,95.8,4
0.43,13.32,52.2,5.57,40.22,213.66,86.84,0,9.12,3.87,0,146.93,4.51,106.22,99.17,6
1.58,13.89,53.86,6.3,0,357.44,39.46,24.16,19.63,3.82,110.37,141.27,0,114.65,96.06,11
0.54,14.87,50.46,5.79,20.18,380.11,0,38.75,9.94,3.63,78.15,140.8,4.94,108.48,96.62,5
3.01,16.93,52.03,6.84,12.44,285.1,0,90.05,11.22,0,84.42,151.79,4.69,102.85,0,2
1.52,12.29,47.88,7.88,12.49,373.26,103.19,26.02,19.1,3.16,0,126.61,5.66,105.65,0,10
0.76,13.39,0,6.7,14.54,168.7,56.59,55.59,7.58,3.38,88.67,151.79,7.61,103.54,97.03,11
3.78,12.82,40.14,5.54,16.12,0,138.63,105.89,21.01,3.3,114.41,144.48,4.92,100.11,95.13,2
0.59,12.44,52.79,7.98,16.25,347.79,24.93,40.45,19.02,3.3,76.43,145.85,6.61,116.27,99.7,11
0.75,15.36,47.87,6.84,15.45,283.09,0,33.72,22.44,3.86,102.08,153.01,5.77,0,98.83,1
0.42,21.33,0,7.97,13.1,231.39,76.65,47.32,11.98,3.17,76.88,142.15,4.82,106.08,98.04,4
1.05,22.78,44.3,0,16.59,283.19,107.32,36.98,16.79,3.63,79.09,0,5.74,0,96.59,4
1.11,16.26,37.2,0,9.11,338.57,62.77,22.25,13.83,3.32,115.44,121.7,4.39,115.98,99.74,10
1.53,20.23,48.88,7.56,10.43,327.88,105.95,15.14,8.14,3.64,93.58,141.14,5.23,107.85,99.46,4
1.13,15.75,38.47,7.8,11.87,164.03,35.22,36.84,8.16,2.75,77.07,150.42,3.62,102.05,97.13,1
0.71,14.29,47.24,6.05,11.57,0,71.1,41.34,15.2,3.4,109.26,138.57,3.7,107.89,95.88,1
1.79,13.27,45.68,6.49,12.75,333.96,187.33,142.01,9.29,2.82,85.75,151.01,0,103.94,96.23,7
1.55,0,0,7.78,0,178.27,66.78,64.48,24.24,3.61,0,140.62,7.22,115.05,98.96,11
0.88,15.15,41.29,7.32,11.0,359.1,10.4,49.9,16.12,0.81,0,151.71,3.86,109.47,95.51,9
0,14.24,47.54,7.0,0,275.29,0,40.93,0,3.75,98.49,124.7,0,0,96.46,10
1.52,15.05,0,6.75,15.07,0,91.96,41.4,0,3.39,0,138.95,5.52,113.8,95.86,1
0,0,50.22,6.52,0,369.1,17.05,15.18,8.92,3.97,83.94,147.43,0,110.53,95.53,5
1.27,14.87,0,6.71,13.03,389.2,46.75,54.97,20.33,2.72,162.51,0,4.32,106.78,97.58,8
0.68,22.81,45.26,6.6,6.2,342.22,11.03,52.33,26.11,0,100.47,144.66,5.42,109.74,99.98,4
3.11,12.15,45.43,7.64,12.48,358.96,131.39,87.9,7.08,2.62,77.93,141.26,4.6,102.41,96.84,2
0.59,17.77,45.37,5.81,8.71,201.2,86.15,64.65,10.73,1.21,101.81,142.12,4.95,113.31,98.17,9
1.53,10.01,37.26,5.76,0,252.61,23.88,35.45,16.1,3.54,75.75,141.01,3.71,106.57,99.73,3
1.56,13.88,38.97,6.77,19.63,399.17,15.91,41.31,26.63,0,114.54,151.52,4.96,110.88,97.66,5
0,17.07,48.96,7.24,12.17,332.96,100.53,46.67,24.34,3.04,0,0,7.53,0,98.35,11
1.32,22.83,37.25,6.77,14.91,401.81,55.56,65.75,18.16,3.57,108.18,145.85,4.2,100.1,98.2,4
0.64,0,37.35,8.27,64.12,348.31,0,27.96,14.4,2.88,75.72,148.47,4.45,110.43,99.24,6
1.14,15.44,47.16,6.5,10.26,162.98,107.51,39.9,0,3.81,100.82,151.92,6.81,101.34,98.3,11
0.48,17.59,39.96,5.75,13.07,208.61,67.58,30.77,18.61,3.15,147.09,140.72,4.83,109.05,95.28,8
2.34,15.66,0,7.81,8.08,197.4,158.83,111.21,15.9,3.43,89.6,148.4,0,108.73,95.2,2
3.14,15.89,0,0,16.13,328.32,144.59,108.38,23.22,3.41,78.07,0,3.96,103.82,0,2
1.66,13.15,52.18,6.83,18.54,235.1,11.2,30.23,19.93,0,0,151.11,0,106.44,97.65,5
1.59,10.14,54.85,7.1,14.62,0,86.49,36.84,16.24,3.0,104.65,150.08,3.61,111.93,96.5,3
1.78,14.63,0,7.01,62.34,346.23,101.22,50.92,12.45,3.82,0,142.65,0,109.58,95.14,6
0,17.65,40.31,8.36,15.85,217.1,154.1,0,0,2.64,76.27,138.94,5.15,102.77,99.59,7
0.45,13.91,0,0,12.28,186.27,55.66,52.09,0,3.66,0,140.75,6.77,110.73,95.08,11
1.47,13.19,51.25,5.62,7.31,404.75,0,32.63,13.09,1.48,77.61,139.75,3.96,112.66,98.71,9
1.79,10.6,54.21,0,10.5,251.54,0,29.39,0,3.32,89.74,140.79,4.16,112.64,98.91,3
0,16.76,42.18,6.57,7.02,427.28,74.11,15.65,20.09,0,94.01,147.22,0,100.24,97.73,9
1.35,10.19,50.92,6.41,7.19,179.33,45.48,54.41,10.78,2.96,117.5,152.68,3.97,107.11,0,3
1.08,16.18,47.86,5.72,12.85,425.36,83.48,0,9.73,3.83,81.31,142.2,0,106.95,98.84,1
1.21,13.61,39.21,6.16,9.3,417.24,102.48,0,23.64,2.62,98.15,0,4.83,0,96.41,10
0.96,20.72,54.74,6.12,11.09,209.05,102.66,16.4,17.74,0,85.09,145.28,3.65,100.31,98.11,4
0.56,13.11,0,7.44,7.87,237.83,0,55.67,15.78,3.15,116.68,0,6.41,100.27,95.55,11
1.41,13.22,40.97,6.96,58.5,179.26,26.22,31.42,8.9,0,83.59,149.87,3.96,102.0,0,6
0.41,16.14,0,8.25,6.03,306.96,12.53,50.68,14.93,3.92,77.92,150.43,5.16,115.93,97.19,1
0.46,21.52,46.1,5.55,16.2,238.62,81.7,56.84,23.39,2.68,97.35,148.33,5.6,112.14,97.78,4
1.56,10.1,53.05,6.54,14.31,180.95,60.32,23.58,9.14,2.68,0,153.12,4.75,0,98.68,3
1.16,15.96,45.12,7.37,0,367.53,158.5,117.51,0,3.34,0,0,4.82,103.62,98.13,7
1.73,13.62,38.34,7.35,12.83,414.99,93.91,55.39,13.09,2.89,94.35,119.82,4.81,101.74,95.65,10
2.63,14.1,0,8.47,11.54,254.46,153.82,110.79,24.47,3.65,84.74,140.21,4.18,107.76,99.83,2
0.93,15.32,43.16,7.87,16.05,0,0,17.01,8.69,0,87.05,153.8,4.29,102.45,99.28,9
0.68,15.7,49.45,6.3,12.51,267.5,64.76,57.62,20.07,1.46,92.73,151.08,5.39,104.26,95.7,9
0.66,22.47,51.12,6.83,8.81,386.51,54.17,18.53,24.77,3.52,109.71,142.98,4.22,103.04,97.91,4
0.65,19.42,46.98,8.32,13.87,0,25.86,45.83,19.76,4.0,83.8,145.29,4.48,105.3,95.04,4
1.51,17.66,50.55,6.55,21.8,304.74,78.88,59.83,9.99,3.06,94.19,148.88,3.96,104.11,95.53,5
0.93,15.64,54.25,7.32,0,162.41,63.19,36.77,26.13,2.69,84.4,0,4.11,117.12,96.24,10
0,17.09,54.0,6.67,14.59,395.56,84.63,53.57,0,0,164.5,146.8,5.12,112.58,99.43,8
1.54,16.12,37.46,6.13,15.84,189.51,85.12,53.69,11.81,3.06,99.75,140.46,4.43,115.44,95.01,1
1.73,14.98,41.68,7.58,14.51,295.17,204.58,165.3,20.13,3.5,105.12,152.9,0,117.29,97.05,7
1.13,0,0,6.2,10.65,248.69,18.27,49.02,26.2,2.63,0,144.17,4.02,101.95,95.73,3
1.06,15.68,37.22,6.61,19.32,308.58,32.9,43.95,9.39,2.81,115.74,153.68,4.35,110.21,98.08,5
3.12,13.21,37.22,5.51,7.57,180.81,129.93,101.41,15.96,2.64,104.88,139.27,4.5,112.11,95.82,2
1.26,9.35,37.87,6.15,8.64,241.03,92.11,63.4,17.89,3.21,76.85,147.06,3.81,101.09,98.32,3
1.6,22.43,0,6.41,14.61,191.77,10.66,15.35,7.9,3.72,89.91,147.08,5.12,107.24,99.37,4
0.96,14.51,47.84,7.39,14.17,192.79,53.95,49.34,10.84,2.82,101.72,119.65,4.24,105.81,0,10
1.74,15.88,0,8.44,8.99,234.53,96.52,25.84,25.97,2.62,76.55,146.56,5.34,102.73,97.43,1
0.46,14.44,42.9,6.77,12.1,0,187.28,114.38,17.11,3.8,103.0,146.72,4.4,112.78,98.77,7
1.05,10.54,45.31,6.03,11.6,302.29,0,24.13,9.74,3.83,0,149.83,4.01,104.83,96.57,3
0,0,42.26,7.65,6.67,228.61,50.79,58.62,20.11,3.69,86.94,144.02,4.25,114.11,99.49,3
0,14.79,0,7.59,60.09,350.08,43.98,34.74,17.35,3.68,114.9,139.45,4.2,106.43,96.19,6
1.66,13.37,0,7.97,0,245.88,51.94,21.0,19.47,3.93,112.78,121.67,5.72,117.06,95.89,10
0.61,14.78,40.37,5.89,8.98,333.79,35.83,0,10.93,3.65,95.65,120.9,3.67,111.54,95.9,10
2.92,17.81,47.31,5.71,10.55,417.22,132.1,111.97,17.19,3.02,99.72,0,4.53,113.08,95.33,2
0.53,21.32,46.89,5.65,0,0,46.93,44.54,23.22,3.63,0,140.25,3.69,107.64,97.84,4
0.77,0,43.44,7.8,19.0,269.49,60.82,40.79,0,3.13,0,147.42,5.19,107.82,0,5
1.1,0,40.12,7.21,12.11,374.82,62.17,37.8,26.82,3.74,117.62,0,3.55,107.68,95.86,1
0.52,0,50.54,5.85,0,314.37,61.63,30.8,16.39,3.93,109.76,0,3.55,108.7,96.73,6
1.69,14.85,48.28,5.57,14.45,252.97,45.07,44.86,14.67,3.28,111.15,152.44,0,102.24,96.25,11
0.79,12.46,51.82,6.85,12.35,358.89,26.5,31.9,9.75,0,85.53,142.6,4.31,111.4,95.95,9
1.05,14.63,44.68,7.14,20.04,271.51,16.64,0,7.74,3.1,78.72,0,5.49,107.7,97.11,5
0.59,0,41.21,7.77,7.85,367.17,108.06,47.69,20.82,3.93,119.73,150.81,0,102.27,0,3
0.72,15.36,49.35,6.67,6.01,288.05,188.65,101.63,26.57,2.89,78.46,152.04,0,116.21,98.13,7
1.12,22.95,53.77,8.19,9.65,372.96,33.53,33.79,10.82,3.89,102.2,147.62,5.0,110.94,97.14,4
0.99,16.74,50.38,7.92,9.81,214.5,0,35.74,16.89,3.35,0,142.36,5.18,110.95,95.06,8
0.98,0,37.01,8.35,29.59,0,87.19,62.56,8.69,3.23,91.66,151.23,5.51,115.26,99.76,6
0.4,16.1,52.37,8.09,29.61,205.46,76.11,33.26,25.47,2.79,99.92,147.22,3.94,109.58,99.26,6
0.9,16.88,39.98,6.83,20.05,373.31,11.68,32.19,11.59,3.93,102.18,151.63,4.12,114.47,0,5
1.53,10.8,47.71,7.39,13.75,387.98,100.22,22.6,10.34,2.68,83.02,0,3.89,104.88,95.4,3
1.39,18.0,52.1,7.19,18.19,255.5,25.56,57.11,16.33,0,109.46,149.23,4.03,0,98.91,5
1.24,13.96,41.18,7.96,18.3,192.91,91.19,0,7.79,3.51,108.29,152.75,4.32,110.39,97.23,5
0.69,12.64,43.73,6.57,6.14,204.43,39.78,29.9,0,2.73,108.83,140.67,5.67,112.76,98.39,1
0,16.14,38.94,0,9.04,300.54,129.6,113.2,19.46,3.86,78.97,145.97,4.34,104.32,96.71,2
0,17.15,41.75,7.41,15.95,0,173.15,112.73,9.63,3.36,107.73,146.62,5.31,0,96.75,7
0.57,12.46,0,5.78,0,317.61,94.46,20.62,15.07,3.41,141.65,151.14,3.89,104.27,95.79,8
1.12,17.01,51.67,7.96,15.18,242.5,43.84,43.21,10.76,2.75,100.65,124.0,4.55,105.28,95.85,10
0.87,15.75,0,7.69,59.91,317.48,63.54,62.83,12.21,0,115.16,142.11,3.95,109.31,99.6,6
1.38,16.65,47.56,8.15,14.1,169.06,147.34,102.88,9.75,2.85,85.04,145.15,4.33,105.17,96.64,7
0.74,0,37.78,8.05,19.57,272.88,33.83,26.25,15.95,3.33,111.65,141.66,4.97,0,95.81,5
1.17,21.05,53.03,0,15.96,224.9,19.42,34.51,22.01,3.94,103.17,138.47,5.57,104.8,96.47,4
1.69,16.13,37.8,7.99,18.87,336.5,107.29,45.22,22.97,3.04,117.02,139.18,0,0,98.25,5
3.78,17.88,40.98,6.98,16.88,282.79,0,114.81,8.83,3.22,95.55,142.31,5.34,115.03,98.56,2
1.31,13.8,39.4,7.01,20.94,258.15,33.23,28.21,21.14,3.64,0,143.27,3.69,109.77,97.02,5
0.6,13.36,41.88,8.5,0,226.21,36.07,54.98,9.17,3.7,0,148.04,4.54,115.26,99.98,5
0.79,21.0,38.15,6.9,16.25,420.75,44.01,42.56,17.55,3.79,112.78,146.75,4.62,114.48,96.08,4
1.65,16.75,37.77,6.61,18.36,192.0,26.58,39.17,19.92,2.8,118.12,0,3.96,114.92,96.15,5
3.73,0,38.79,8.29,11.56,212.57,129.84,99.54,18.3,2.76,108.35,144.85,3.82,103.51,96.34,2
1.3,0,52.06,6.12,8.14,353.18,58.4,54.26,13.51,3.78,96.51,141.17,6.92,100.23,96.8,11
1.04,20.06,41.04,6.79,11.44,192.97,29.75,19.24,26.57,3.97,88.04,143.03,5.62,111.96,95.54,4
1.29,15.7,49.92,7.94,14.84,379.99,18.02,17.77,16.68,2.77,77.85,119.67,4.37,103.92,0,10
0.43,16.64,51.8,7.78,19.69,323.79,50.13,55.89,8.68,2.66,87.27,0,4.79,106.74,98.26,5
1.6,21.95,51.48,6.76,13.24,174.09,26.44,18.46,23.56,3.93,0,143.11,5.42,102.25,98.96,4
0.7,13.82,38.64,0,14.09,422.01,186.09,113.67,9.09,3.4,0,139.42,4.95,106.96,0,7
1.79,16.61,40.31,8.46,10.61,247.4,53.85,18.83,0,2.85,91.3,144.35,6.46,108.08,99.62,11
1.57,16.87,53.62,5.69,12.91,385.01,0,15.22,23.12,2.98,162.84,141.55,4.34,100.95,98.87,8
0,13.32,52.34,7.5,16.63,358.42,77.19,42.98,23.01,3.54,162.33,140.63,0,101.02,95.78,8
0.85,19.21,53.54,7.22,14.41,347.1,53.98,51.48,8.64,3.89,78.49,146.58,3.95,111.02,96.04,4
0,12.25,37.46,7.36,14.38,373.35,48.47,0,24.07,3.51,97.71,147.19,7.63,106.0,96.51,11
3.62,15.29,40.29,6.18,7.36,301.66,146.46,111.27,15.58,3.23,100.87,141.06,3.51,0,98.02,2
0.84,12.93,41.12,6.09,6.74,0,64.24,57.45,18.5,3.07,81.74,146.19,7.39,102.68,97.13,11
1.12,13.64,52.09,7.74,8.97,394.87,0,63.94,0,2.89,91.94,150.03,7.79,103.17,95.74,11
1.2,17.4,0,6.29,14.17,411.41,194.02,0,18.86,2.91,76.32,0,3.7,110.47,95.81,7
0,17.64,40.24,7.04,10.93,163.21,25.87,56.81,11.35,2.87,77.4,0,4.7,101.68,96.86,1
0,21.23,53.38,6.12,15.22,379.21,0,0,20.42,3.4,86.73,153.55,0,112.03,97.8,4
1.01,17.89,44.59,6.43,14.76,301.82,97.91,24.56,26.16,3.49,117.99,140.22,4.27,107.69,95.02,1
1.13,21.78,44.7,6.34,10.16,191.95,76.57,50.87,0,3.98,118.61,143.52,3.69,116.23,99.82,4
1.2,16.63,48.29,7.78,8.17,281.31,201.79,146.48,18.87,3.26,96.06,0,5.29,109.8,98.04,7
0,14.66,47.96,7.75,7.51,321.7,185.95,135.5,19.88,3.57,87.42,141.93,4.73,116.75,98.86,7
1.16,17.78,38.41,5.51,9.71,417.47,92.65,21.19,8.16,2.84,76.82,138.1,4.09,105.02,0,1
1.38,9.34,43.5,6.53,15.4,0,70.94,21.0,25.8,0,0,138.1,5.49,113.11,98.08,3
1.54,22.31,53.34,6.42,6.17,221.59,76.8,29.68,10.16,0,0,153.88,0,0,96.53,4
0,14.38,53.75,7.13,11.49,392.83,0,52.03,26.51,1.59,113.8,147.51,0,108.43,96.68,9
0.45,13.07,41.12,5.99,0,405.36,67.17,39.69,21.61,3.87,96.12,0,6.76,111.35,96.95,11
1.72,14.55,45.01,8.11,9.85,163.06,102.3,34.83,22.59,3.27,0,147.0,7.36,0,96.84,11
0.44,13.45,39.99,7.35,7.04,335.18,26.32,23.01,10.68,3.1,107.15,151.18,6.39,0,97.73,11
0,12.94,51.25,0,13.62,251.88,78.92,20.79,9.03,3.78,80.04,146.58,5.16,107.83,95.81,1
1.42,16.26,37.55,8.17,21.79,374.74,77.61,61.62,25.15,2.92,106.32,139.83,0,0,98.04,5
1.0,13.48,49.7,6.53,9.55,401.19,66.62,42.29,14.54,2.91,108.37,0,3.87,114.58,97.45,1
0.59,14.95,43.36,6.61,57.59,0,19.83,19.36,22.25,3.7,115.69,142.64,4.29,0,98.14,6
1.53,17.21,44.74,0,15.37,424.42,94.99,26.78,10.72,3.26,119.18,150.31,0,112.25,0,1
1.38,20.09,50.53,6.03,10.35,417.85,54.21,53.06,14.13,2.8,105.19,146.66,0,0,97.94,4
0.9,15.17,37.22,6.02,20.57,201.55,28.22,44.68,17.5,2.63,101.98,152.96,4.51,106.29,0,5
1.4,12.24,51.44,7.21,9.26,235.03,45.29,29.59,7.42,0.67,75.39,146.96,3.85,104.15,98.85,9
0.57,12.92,48.0,6.35,64.76,358.27,61.35,48.19,15.45,2.96,96.97,145.56,5.43,115.88,95.72,6
1.77,0,0,0,12.65,415.27,78.63,44.53,16.22,1.43,87.31,147.59,4.83,103.6,96.28,9
0,12.64,45.11,5.72,7.22,267.47,84.02,15.48,15.66,3.85,161.31,146.69,5.44,111.25,96.57,8
0.64,12.06,47.72,8.27,19.57,0,53.35,23.09,19.27,3.95,101.32,151.26,4.0,112.71,95.3,5
0.91,12.7,43.68,6.51,16.21,180.98,206.97,140.13,21.14,2.94,0,139.36,0,102.61,0,7
1.03,15.08,45.69,5.99,8.35,219.0,40.14,39.59,18.02,3.82,80.06,148.44,6.69,113.68,0,11
1.5,0,50.78,0,14.95,407.37,33.55,41.23,13.44,2.86,78.53,145.7,4.22,100.12,0,4
1.43,16.83,0,6.66,11.61,0,60.18,0,18.47,3.25,76.53,124.29,3.66,102.05,95.47,10
1.79,17.44,48.4,8.36,20.47,0,105.35,18.1,10.02,2.74,82.52,149.13,3.58,110.41,97.43,5
1.68,15.98,47.6,6.54,58.08,271.59,86.11,41.59,26.75,3.61,0,142.46,0,114.76,97.86,6
0.6,14.22,54.49,8.3,12.94,181.5,21.24,50.68,26.65,0.92,110.27,149.98,0,100.21,95.35,9
3.66,16.39,50.53,5.8,9.09,214.57,136.54,89.28,12.43,3.92,111.76,149.3,4.27,101.07,98.33,2
0,17.12,49.02,6.5,66.44,364.94,27.26,32.92,22.75,3.39,119.67,148.93,4.15,106.99,95.87,6
3.01,0,51.91,5.54,9.26,0,135.96,100.46,11.61,3.92,75.58,139.09,4.92,117.95,97.32,2
0,13.49,40.62,6.43,11.41,390.77,82.46,65.71,22.45,3.43,91.75,140.28,7.5,102.92,96.04,11
1.27,12.88,50.96,6.96,13.77,381.4,0,17.28,14.8,3.71,144.74,152.94,4.7,105.49,95.22,8
1.77,19.52,39.65,0,15.38,403.69,100.86,39.13,19.35,2.94,79.89,142.35,3.82,100.3,97.97,4
0.87,10.53,52.27,7.14,10.44,330.43,77.25,49.46,15.2,3.05,118.03,148.35,4.72,0,96.24,3
3.51,15.97,45.86,6.94,16.82,225.01,157.64,88.75,0,3.53,0,140.11,4.17,100.65,95.15,2
1.56,9.74,41.52,8.08,0,429.64,93.93,30.56,26.69,0,96.2,148.38,5.7,106.59,98.82,3
0,14.75,37.83,6.69,64.0,421.21,54.37,35.47,17.66,3.74,94.01,144.48,4.45,0,96.13,6
0,16.67,50.24,7.97,14.04,355.64,145.33,106.26,16.58,3.28,77.93,146.6,0,107.16,97.93,2
0,15.84,50.84,6.31,15.49,416.36,80.41,15.83,8.36,3.2,111.36,140.1,7.66,115.48,95.04,11
0,19.64,54.88,5.9,0,210.67,15.75,59.76,24.06,2.76,103.88,143.95,4.04,111.21,0,4
3.65,17.2,38.58,8.42,10.16,194.27,157.16,101.91,24.37,3.98,114.81,152.33,4.18,114.93,97.97,2
1.26,14.58,39.34,0,39.99,193.84,0,36.46,15.32,3.89,118.14,150.24,5.53,107.58,0,6
0,14.24,46.35,6.12,19.18,216.32,58.38,48.95,8.47,3.95,87.1,152.22,4.55,104.22,99.41,5
